month_name,most_popular_rubric,most_popular_book_in_rubric,rubric_request_count_in_month,rubric_request_count_in_2024,book_request_count_in_month,last_request_date_in_month
Январь,Научная литература,Практикум по математике #51,6,52,1,2024-01-30
Февраль,Математика,Теория фантастике #49,5,25,2,2024-02-17
Март,Русская литература,Введение в истории России #1,6,34,2,2024-03-12
Апрель,Зарубежная литература,Введение в базам данных #77,4,38,1,2024-04-29
Май,История,Практикум по русской литературе #19,4,39,1,2024-05-31
Июнь,Математика,Курс фантастике #47,5,25,3,2024-06-06
Июль,Зарубежная литература,Курс базам данных #69,6,38,3,2024-07-31
Август,Научная литература,Практикум по физике #27,8,52,2,2024-08-28
Сентябрь,Зарубежная литература,Теория программированию #36,4,38,2,2024-09-29
Октябрь,Зарубежная литература,Курс базам данных #69,7,38,3,2024-10-30
Ноябрь,История,Справочник по фантастике #13,5,39,1,2024-11-26
Декабрь,История,Теория базам данных #42,5,39,1,2024-12-21
