title,author,rubric,total_issue_count,active_reader_count,publisher_refusal_count,top_refusal_reason,issue_count_last_2_weeks,last_reader_ticket_number
Курс русской литературе #8,"Алексеев Максим Сергеевна, Степанов Дмитрий Павловна, Петров Ольга Павлович",Художественная литература,8,6,6,Нарушены правила библиотеки,4,TKT0000033
Курс системному анализу #69,"Лебедев Мария Сергеевна, Лебедев Наталья Павлович",История,7,5,13,Нарушены правила библиотеки,5,TKT0000026
Справочник по русской литературе #38,"Козлов Анна Иванович, Белов Елена Дмитриевич, Петров Максим Дмитриевна",Программирование,6,5,6,Нарушены правила библиотеки,5,TKT0000005
Практикум по программированию #74,"Смирнов Дмитрий Ивановна, Смирнов Андрей Павлович",Техническая литература,6,5,7,Истек срок действия читательского билета,4,TKT0000038
Курс программированию #54,"Федоров Андрей Павловна, Алексеев Андрей Дмитриевна",Базы данных,6,4,2,Истек срок действия читательского билета,3,TKT0000014
Введение в истории России #72,"Степанов Наталья Алексеевич, Иванов Анна Павлович",Техническая литература,5,3,5,Нарушены правила библиотеки,2,TKT0000000
Справочник по физике #32,Степанов Андрей Павлович,История,5,4,2,Нарушены правила библиотеки,4,TKT0000024
Справочник по фантастике #68,"Лебедев Наталья Павлович, Новиков Юлия Павлович",Техническая литература,5,3,1,Истек срок действия читательского билета,1,TKT0000058
Теория программированию #27,Петров Иван Сергеевна,Русская литература,5,4,5,Нарушены правила библиотеки,4,TKT0000027
Теория SQL #36,"Белов Елена Дмитриевич, Алексеев Максим Сергеевна",Художественная литература,5,4,5,Нарушены правила библиотеки,4,TKT0000027
