author_name,Прогресс 1 (Самара),Прогресс 10 (Пермь),Питер 11 (Москва),Университет 12 (Москва),Питер 13 (Томск),Наука 14 (Новосибирск),Просвещение 15 (Самара),Наука 16 (Санкт-Петербург),Мир 17 (Пермь),Бином 18 (Казань),Мир 2 (Самара),Университет 3 (Пермь),Питер 4 (Москва),Университет 5 (Москва),Бином 6 (Казань),Питер 7 (Томск),Питер 8 (Казань),Мир 9 (Москва)
Алексеев Андрей Дмитриевна,-,"Справочник по системному анализу #58, Основы истории России #45",-,Введение в алгоритмам #83,-,-,-,-,-,-,Практикум по русской литературе #43,-,Введение в алгоритмам #26,-,-,-,-,-
Алексеев Иван Дмитриевна,-,-,Теория программированию #61,-,-,Курс базам данных #74,-,-,-,-,Теория программированию #57,-,-,-,-,-,-,Курс системному анализу #71
Алексеев Максим Сергеевна,-,-,-,-,-,-,-,Курс русской литературе #22,-,-,-,Курс истории России #9,-,-,-,-,-,-
Белов Дмитрий Сергеевич,-,Курс русской литературе #38,-,-,-,-,-,-,-,Основы математике #87,-,-,-,-,-,-,-,-
Белов Юлия Алексеевич,-,-,-,Практикум по истории России #76,-,-,-,-,-,-,-,-,-,Теория алгоритмам #33,Практикум по базам данных #14,-,-,Справочник по русской литературе #21
Захаров Алексей Павлович,-,-,-,"Практикум по программированию #60, Введение в алгоритмам #83",-,-,-,-,-,Курс фантастике #47,-,"Курс истории России #20, Теория базам данных #48",Введение в алгоритмам #26,-,Теория истории России #41,-,Теория SQL #35,-
Захаров Иван Дмитриевич,-,-,-,-,-,-,-,-,"Справочник по русской литературе #8, Курс SQL #4",-,-,-,-,-,Практикум по физике #30,Справочник по SQL #6,Теория SQL #35,-
Захаров Иван Павловна,Теория фантастике #49,Теория математике #18,Теория программированию #61,Введение в истории России #67,-,Курс базам данных #74,-,-,Практикум по русской литературе #12,-,Практикум по русской литературе #43,-,-,-,-,-,-,Теория программированию #36
Козлов Анна Иванович,-,-,-,-,-,-,-,Справочник по фантастике #13,-,-,-,-,-,Практикум по русской литературе #19,-,-,Справочник по базам данных #17,Справочник по русской литературе #21
Козлов Дмитрий Дмитриевич,-,Справочник по русской литературе #34,-,Введение в истории России #67,Основы системному анализу #86,Курс фантастике #44,-,-,-,Введение в математике #2,-,-,-,Основы программированию #37,-,-,-,-
Козлов Сергей Ивановна,-,-,-,Справочник по программированию #31,Курс программированию #50,-,-,Курс русской литературе #22,-,Теория алгоритмам #39,-,-,-,-,Справочник по русской литературе #62,Справочник по SQL #6,Курс базам данных #69,-
Лебедев Наталья Павлович,-,-,-,-,-,-,-,-,-,Курс системному анализу #65,-,-,-,-,Справочник по русской литературе #62,-,Справочник по базам данных #17,-
Лебедев Ольга Сергеевна,-,Теория математике #18,-,Практикум по программированию #60,-,-,-,-,Введение в математике #63,-,-,-,-,Практикум по программированию #70,Введение в базам данных #77,Практикум по физике #27,-,Основы истории России #29
Морозов Максим Алексеевич,Теория фантастике #49,Теория математике #18,-,-,Теория базам данных #42,Курс базам данных #74,-,Курс системному анализу #25,-,"Практикум по алгоритмам #24, Курс системному анализу #65",Теория русской литературе #85,-,-,Практикум по SQL #90,Справочник по фантастике #64,-,-,-
Морозов Мария Ивановна,-,-,-,-,-,-,-,-,Основы русской литературе #55,-,-,-,-,Основы программированию #37,-,-,-,-
Николаев Наталья Дмитриевна,Основы программированию #11,-,-,Введение в истории России #67,-,-,-,-,Основы алгоритмам #73,-,-,-,-,-,-,-,-,-
Николаев Павел Сергеевна,-,-,-,"Справочник по программированию #31, Курс истории России #54",-,Теория программированию #23,-,-,Основы русской литературе #55,Основы SQL #75,-,-,-,-,-,-,-,-
Новиков Юлия Павлович,-,-,Курс системному анализу #53,Введение в алгоритмам #83,-,-,-,-,Справочник по русской литературе #8,Курс фантастике #47,Основы истории России #72,-,-,-,"Теория истории России #41, Введение в программированию #52",-,-,Теория программированию #36
Павлов Алексей Сергеевна,-,-,-,-,-,-,-,-,-,Теория алгоритмам #39,-,Теория базам данных #48,-,-,-,-,-,-
Петров Ольга Павлович,Курс SQL #40,Курс системному анализу #16,-,-,-,-,-,-,-,-,Практикум по русской литературе #43,-,-,Практикум по русской литературе #19,-,-,-,-
Попов Юлия Дмитриевна,-,-,-,Курс истории России #54,-,-,-,-,Основы русской литературе #55,Основы математике #87,"Теория русской литературе #85, Теория программированию #57",-,-,Справочник по истории России #88,-,-,-,-
Семенов Татьяна Дмитриевна,-,-,-,Практикум по истории России #76,Курс программированию #50,-,-,Справочник по истории России #5,"Справочник по физике #56, Курс SQL #4",-,-,-,-,Основы программированию #37,-,Курс SQL #79,-,-
Семенов Юлия Павловна,-,-,-,-,-,Введение в истории России #68,-,-,-,-,-,-,-,Практикум по SQL #90,-,-,Курс базам данных #69,Основы истории России #29
Сидоров Елена Павлович,-,-,-,-,-,-,-,-,-,Практикум по алгоритмам #24,-,-,-,-,-,-,-,-
Сидоров Иван Ивановна,-,-,-,-,-,"Введение в истории России #68, Курс фантастике #44",-,Справочник по истории России #5,Практикум по математике #51,Курс фантастике #47,-,-,Введение в алгоритмам #26,-,-,-,-,-
Сидоров Ольга Алексеевич,-,Курс русской литературе #38,-,-,-,-,-,-,"Справочник по русской литературе #8, Практикум по математике #51",Теория русской литературе #59,-,-,-,-,Теория истории России #41,-,-,-
Сидоров Павел Иванович,-,Курс системному анализу #16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Основы истории России #29, Основы физике #46"
Сидоров Павел Павловна,-,-,-,-,-,-,-,-,-,Основы SQL #75,-,Курс истории России #9,-,-,-,-,-,-
Сидоров Татьяна Алексеевна,Теория фантастике #49,-,-,-,-,-,-,Справочник по фантастике #13,-,-,Основы истории России #72,-,-,-,-,-,-,-
Смирнов Андрей Павлович,-,-,-,-,-,-,-,-,-,-,Основы алгоритмам #78,-,-,-,Практикум по базам данных #14,-,-,-
Смирнов Ольга Алексеевна,-,-,-,-,-,-,Практикум по программированию #80,-,-,-,Теория SQL #32,Курс истории России #9,-,-,Введение в программированию #52,-,-,-
Смирнов Павел Дмитриевич,-,Курс программированию #3,-,-,Основы системному анализу #86,-,Практикум по SQL #84,-,-,-,-,-,-,-,Справочник по фантастике #64,"Практикум по физике #27, Теория фантастике #15",-,-
Смирнов Сергей Сергеевич,-,Справочник по русской литературе #34,-,Практикум по истории России #76,-,-,-,-,Справочник по физике #56,-,Теория SQL #32,-,-,-,-,-,-,-
Соколов Ирина Павловна,-,"Справочник по системному анализу #58, Основы истории России #45",Справочник по истории России #82,Практикум по программированию #60,Теория системному анализу #66,-,Введение в истории России #1,-,-,Теория русской литературе #59,-,Теория алгоритмам #81,-,-,-,Справочник по физике #28,-,Курс системному анализу #71
Степанов Андрей Алексеевич,-,-,-,Справочник по программированию #31,-,-,-,Курс русской литературе #22,Введение в математике #63,-,Основы истории России #72,-,-,Теория алгоритмам #33,-,-,Справочник по базам данных #17,-
Степанов Андрей Павлович,-,"Справочник по базам данных #10, Справочник по русской литературе #34","Справочник по истории России #82, Теория программированию #61",-,-,Курс фантастике #44,-,-,-,-,-,-,-,-,-,-,-,Курс системному анализу #71
Степанов Наталья Алексеевич,-,-,-,-,-,-,-,-,Практикум по русской литературе #12,Основы русской литературе #89,-,Теория алгоритмам #81,-,-,"Введение в базам данных #77, Введение в программированию #52",-,-,-
Федоров Андрей Павловна,-,-,-,-,Теория базам данных #42,-,-,-,Практикум по русской литературе #12,-,-,-,-,Практикум по русской литературе #19,-,-,-,-
Федоров Елена Алексеевна,-,Курс программированию #3,Курс системному анализу #53,-,-,-,-,Справочник по истории России #5,-,-,-,-,-,Практикум по программированию #70,-,-,-,Теория программированию #36
Федоров Татьяна Павлович,-,Курс русской литературе #38,-,-,-,-,-,-,-,-,Основы алгоритмам #78,-,-,Основы русской литературе #7,-,-,-,-
